feature_1,feature_2,feature_3,feature_4,feature_5,numeric_feature_sum,numeric_feature_average,numeric_feature_range,feature_1_x_feature_2
0.978826956,0.269072265,0.428747772,0.61074358,0.305823011,2.593213584,0.5186427168,0.7097546910000001,0.2633751860939753
0.516343109,0.242067139,0.749536342,0.066392402,0.749587741,2.323926733,0.4647853466,0.6831953390000001,0.12498969913799515
0.419779944,0.294531975,0.495886015,0.623969935,0.220128733,2.054296602,0.4108593204,0.40384120199999995,0.1236386159717094
0.696938999,0.712465514,0.604260837,0.515038912,0.365214365,2.893918627,0.5787837254,0.34725114900000004,0.4965450021491805
0.844729707,0.153239132,0.7405131,0.906168121,0.393810096,3.038460156,0.6076920312,0.7529289889999999,0.12944564707529432
0.263913271,0.223968796,0.62664342,0.202904759,0.381461247,1.6988914929999999,0.3397782986,0.42373866099999996,0.059108337554291714
0.779067791,0.102142799,0.645493968,0.871854915,0.369612261,2.768171734,0.5536343468,0.769712116,0.07957616478348702
0.368930338,0.781500428,0.839944702,0.79115965,0.958622779,3.740157897,0.7480315794,0.589692441,0.2883192170491847
0.020270902,0.78090964,0.880309927,0.121713717,0.734245853,2.537450039,0.5074900078,0.860039025,0.01582974278329528
0.465586326,0.153995085,0.341291779,0.635890438,0.870829095,2.467592723,0.4935185446,0.71683401,0.07169800584720772
0.401776332,0.592421773,0.217769046,0.300505405,0.267063002,1.7795355579999999,0.3559071116,0.37465272699999996,0.23802104695287662
0.354794066,0.163511916,0.284524286,0.318287431,0.819450534,1.940568233,0.38811364660000003,0.655938618,0.05801305751709046
0.500309296,0.364422916,0.700329229,0.913579998,0.554582959,3.0332243979999998,0.6066448795999999,0.549157082,0.18232417255022712
0.872719985,0.688425271,0.424251104,0.389893603,0.558720276,2.934010239,0.5868020478,0.48282638200000005,0.6008024921807409
0.510309283,0.766691994,0.57278206,0.024223073,0.307935499,2.181941909,0.43638838179999995,0.742468921,0.3912500417399803
0.985158288,0.976036766,0.068503438,0.965249121,0.137129519,3.132077132,0.6264154264,0.91665485,0.9615507094176167
0.666613149,0.742151631,0.778902604,0.573040371,0.508284661,3.2689924160000006,0.6537984832000001,0.27061794299999997,0.49472803577639607
0.47839554,0.251851794,0.282353263,0.99528037,0.180375073,2.18825604,0.437651208,0.814905297,0.12048477499059877
0.47991473,0.009384259,0.35753428,0.988293665,0.000643582,1.835770516,0.36715410319999997,0.987650083,0.00450364412423507
0.267973935,0.928406014,0.706302279,0.743876217,0.581241432,3.2277998770000003,0.6455599754000001,0.660432079,0.24878861284924508
0.212865811,0.966364344,0.485465809,0.966477499,0.251673623,2.8828470859999995,0.5765694171999999,0.753611688,0.20570592980704297
0.122084575,0.294432043,0.308172527,0.30812301,0.072381549,1.1051937039999997,0.22103874079999994,0.23579097799999998,0.03594561083603672
0.305005748,0.568124376,0.720579173,0.149617871,0.82394,2.567267168,0.5134534336,0.674322129,0.17328120025891325
0.982261137,0.30983535,0.212470613,0.264003238,0.13856228,1.907132618,0.38142652359999996,0.8436988569999999,0.3043392231737929
0.179009662,0.270919606,0.503677727,0.76164633,0.906658742,2.621912067,0.5243824133999999,0.72764908,0.048497227099233174
0.026226277,0.592206307,0.60950457,0.771362735,0.681082509,2.680382398,0.5360764795999999,0.745136458,0.015531366648529039
0.658226619,0.099309763,0.274769135,0.748673584,0.324790059,2.1057691600000004,0.42115383200000006,0.6493638209999999,0.0653683295331813
0.644751888,0.498000625,0.063395272,0.217171001,0.495071164,1.9183899500000001,0.38367799,0.5813566160000001,0.32108684319393
0.189492069,0.708864195,0.894251293,0.552792241,0.791734823,3.137134621,0.6274269242,0.7047592239999999,0.13432414295056946
0.036382876,0.148210956,0.923054381,0.706065764,0.866164344,2.679878321,0.5359756642,0.886671505,0.005392340833989456
0.138619245,0.14776839,0.118037724,0.215524139,0.869370211,1.489319709,0.29786394180000003,0.751332487,0.02048354265666555
0.779571205,0.576348737,0.07224759,0.251697798,0.046128493,1.7259938229999998,0.3451987646,0.733442712,0.4493048794033181
0.604496211,0.079468639,0.788628691,0.707276051,0.781299038,2.9611686300000004,0.5922337260000001,0.709160052,0.04803849116882682
0.19769236,0.480079378,0.450626033,0.34324766,0.330525868,1.802171299,0.3604342598,0.282387018,0.09490802522415208
0.09216327,0.039796749,0.67376144,0.990395369,0.544855973,2.3409728010000004,0.46819456020000005,0.9505986200000001,0.00366779852320923
0.424693391,0.637035695,0.95964135,0.12142938,0.104313494,2.2471133099999996,0.4494226619999999,0.8553278559999999,0.2705448494975917
0.196305148,0.525671193,0.587966173,0.490996419,0.682910578,2.483849511,0.49676990219999995,0.48660543,0.10319196134120157
0.062661709,0.030944204,0.285485272,0.480443391,0.282097566,1.141632142,0.2283264284,0.449499187,0.0019390167062846358
0.865841094,0.973274505,0.989011208,0.443015905,0.321399741,3.5925424529999996,0.7185084905999999,0.667611467,0.8427010621715084
0.350520709,0.201653871,0.110883361,0.521890883,0.369048202,1.5539970259999998,0.31079940519999993,0.41100752199999996,0.07068385783551454
0.212298921,0.849010872,0.150415707,0.571566146,0.098421105,1.8817127509999998,0.37634255019999996,0.750589767,0.18024409204286912
0.719270782,0.870591058,0.495173172,0.794922778,0.988186665,3.8681444550000004,0.7736288910000001,0.49301349299999997,0.6261907110898675
0.912723057,0.513734498,0.408953533,0.281219432,0.760462593,2.877093113,0.5754186226,0.631503625,0.46889732150092045
0.904704218,0.260097551,0.431347055,0.865271032,0.192561452,2.653981308,0.5307962616,0.712142766,0.2353113514811701
0.873153102,0.978576374,0.282865911,0.846908229,0.877310456,3.858814072,0.7717628143999999,0.695710463,0.8544469965020121
0.815640496,0.956022246,0.896542138,0.141911439,0.679700691,3.48981701,0.697963402,0.8141108069999999,0.7797704589144739
0.845160847,0.055118577,0.871401113,0.207907848,0.481735823,2.461324208,0.49226484160000006,0.816282536,0.046584063222754726
0.144542502,0.989009403,0.196542109,0.882116136,0.617289636,2.8294997859999995,0.5658999571999999,0.844466901,0.1429538936111463
0.628043007,0.839161792,0.642684648,0.941111027,0.579169399,3.6301698730000003,0.7260339746000001,0.36194162800000007,0.5270296952071886
0.111159069,0.514274817,0.895755798,0.087623271,0.323247329,1.9320602839999999,0.38641205679999996,0.808132527,0.057166309867865375
0.873322865,0.724849476,0.696840626,0.817289552,0.718470867,3.8307733859999997,0.7661546772,0.17648223900000004,0.6330276210740687
0.684592803,0.524635452,0.540719937,0.026710564,0.449259181,2.225917937,0.4451835874,0.657882239,0.35916165463785193
0.119738912,0.560361437,0.226015208,0.030174105,0.646349439,1.5826391009999998,0.3165278202,0.616175334,0.06709706879313654
0.119657329,0.229604811,0.472361929,0.145827154,0.357734048,1.325185271,0.2650370542,0.35270460000000003,0.027473898409809818
0.162710557,0.605840091,0.359927334,0.769870418,0.885667443,2.784015843,0.5568031686,0.722956886,0.0985765786595407
0.262791707,0.410711174,0.93493187,0.043688336,0.373224935,2.0253480219999997,0.40506960439999995,0.891243534,0.10793149049943401
0.239990707,0.181551509,0.373512546,0.728529108,0.534486747,2.058070617,0.4116141234,0.5469775990000001,0.04357067500182686
0.813380363,0.211532605,0.493966459,0.334204319,0.930276977,2.783360723,0.5566721446,0.718744372,0.17205646704123564
0.238260798,0.082713007,0.931539675,0.462318658,0.937143672,2.65197581,0.530395162,0.854430665,0.019707267052799588
0.936447256,0.781634047,0.091216806,0.106667777,0.993913977,2.909879863,0.5819759726,0.9026971709999999,0.7319590585093251
0.949191107,0.464895364,0.673569499,0.261641587,0.79599407,3.145291627,0.6290583254000001,0.6875495199999999,0.4412745451943279
0.130831698,0.496883488,0.614446981,0.743928194,0.130975856,2.117066217,0.42341324340000003,0.613096496,0.06500811044320262
0.265484224,0.317085532,0.644974784,0.025245148,0.407978414,1.660768102,0.3321536204,0.619729636,0.08418120640464717
0.234222157,0.830356709,0.255872867,0.773392264,0.307930274,2.401774271,0.48035485419999996,0.5961345520000001,0.1944879394614013
0.744444927,0.29454014,0.47416393,0.044356148,0.845673638,2.403178783,0.4806357566,0.80131749,0.2192689130208698
0.158326789,0.328644483,0.964158444,0.504896814,0.383173161,2.339199691,0.4678399382,0.805831655,0.05203322571595508
0.709758659,0.74465006,0.732561963,0.780820838,0.129763307,3.097554827,0.6195109654000001,0.651057531,0.5285218280098696
0.500081338,0.897449952,0.503490548,0.159184661,0.367979384,2.428185883,0.48563717659999994,0.738265291,0.44879797278419575
0.119540865,0.36718759,0.562634672,0.67539425,0.425705497,2.150462874,0.4300925748,0.555853385,0.04389392212586535
0.568279683,0.53157597,0.972171565,0.177410337,0.873900381,3.123337936,0.6246675872,0.794761228,0.30208382372201753
0.251671663,0.244619393,0.803092882,0.901999757,0.862802113,3.064185808,0.6128371616,0.657380364,0.061563769438360554
0.886768115,0.974092741,0.541741475,0.136895574,0.9172069,3.4567048049999998,0.691340961,0.837197167,0.8637943837717532
0.489843103,0.089023853,0.974757785,0.540095634,0.889400281,2.983120656,0.5966241312,0.885733932,0.04360772039453586
0.596731084,0.453318661,0.604847063,0.872881409,0.766450145,3.2942283619999997,0.6588456723999999,0.419562748,0.2705093359759585
0.090972919,0.964562084,0.610185736,0.838887592,0.250197319,2.7548056499999998,0.5509611299999999,0.873589165,0.0877490283382032
0.425866457,0.604229328,0.348671918,0.765356136,0.281683378,2.4258072169999996,0.4851614433999999,0.483672758,0.2573210031308509
0.247597525,0.772165738,0.702941451,0.925706668,0.878739062,3.527150444,0.7054300888,0.678109143,0.19118632561859847
0.970448181,0.306615454,0.144259433,0.677023422,0.930308106,3.028654596,0.6057309192,0.826188748,0.29755440960078916
0.574593074,0.903743367,0.151974743,0.600426998,0.172111044,2.402849226,0.48056984519999996,0.751768624,0.5192846793516402
0.779723621,0.182224956,0.485435868,0.848665155,0.458064533,2.754114133,0.5508228265999999,0.666440199,0.14208510252888568
0.465700164,0.919868944,0.428297074,0.666385903,0.858992421,3.339244506,0.6678489012,0.49157186999999997,0.42838311807930685
0.238107149,0.362532169,0.975778894,0.897680075,0.106859256,2.5809575430000002,0.5161915086000001,0.8689196379999999,0.08632150118137619
0.307235068,0.41045107,0.66749438,0.02195155,0.312075967,1.7192080349999999,0.343841607,0.64554283,0.12610496240212274
